|neg|pos
194|['new', 'nice', 'thats', 'sometimes', 'large', 'especially']|['helpful', 'extremely', 'approachable', 'good', 'clear', 'nice']
195|['difficult', 'sometimes', 'many', 'whole', 'broad', 'certain']|['good', 'really', 'well', 'instead', 'often', 'always']
196|['much', 'really', 'smart', 'large', 'small', 'close']|['really', 'well', 'always', 'also', 'great', 'clearly']
197|['history/civ', 'always', 'well', 'favorite', 'least', 'on.Weakness']|['African', 'interesting', 'clearly', 'subject', 'enthusiastic', 'important']
198|[]|['[', 'much']
201|['various', 'never', 'really', 'best', 'irrelevant', 'boundary']|['really', 'great', 'fantastic', 'personal', 'clear', 'well']
207|[]|['interesting', 'often', 'clear', 'sometimes', 'understanding', 'supplemental']
209|"['slightly', 'little', 'hard', 'direct', 'harsher', ""'Inability""]"|['good', 'knowledgeable', 'interesting', 'high', 'anthro', 'new']
211|['little', 'due', 'well', 'productive', 'hard', 'everyday']|['well', 'good', 'difficult', 'subject', 'intelligent', 'wonderful']
212|['good', '[', 'want']|['better', 'important', 'material', 'prepared', 'great', 'africa']
214|"['sometimes', 'end', 'always', ""'Usually"", 'much', 'well']"|['really', 'knowledgeable', 'enthusiastic', 'helpful', 'interesting', 'confused']
216|['harsh', 'lack', 'sometimes', 'halfway', 'awkward', 'provocative']|['sometimes', 'clearly', 'long', 'totally', 'almost', 'clear']
219|['due', 'whole', 'sad', 'much', 'sometimes', 'often']|['really', 'also', 'much', 'good', 'primary', 'interesting']
220|['often', 'long', 'repetitive', 'interesting', 'level', 'large']|['really', 'well', 'interesting', 'great', 'clearly', 'good']
221|['give', 'really', 'difficult', '[']|['helpful', 'really', 'good', 'individual', 'useful', 'poorly']
222|"['sometimes', 'little', 'always', 'hesitate', ""'Excellent"", 'however']"|"['really', 'great', 'good', 'general', ""'Lily"", 'particular']"
223|[]|['available', 'Sometimes', 'understand', 'material', 'pretty', 'Easy']
224|['little', 'also', 'texts', 'difficult', 'youre', 'unclear']|['really', 'also', 'great', 'good', 'always', 'clearly']
225|['really', 'sometimes', 'much', 'clearly', 'difficult', 'clear']|['really', 'interesting', 'good', 'also', 'great', 'knowledgeable']
226|[]|['well', 'sometimes', 'Personable', 'Good', 'interested', 'enthusiastic']
227|['difficult', 'follow', 'huge', 'busy', 'bit', '[']|['knowledgeable', 'little', 'much', 'great', 'good', 'ever']
231|[]|"['interesting', 'discussed', 'visual', 'Good', ""'Enthusiastic"", 'well']"
233|[]|['Very', 'Sometimes', 'effective', 'fruitful', 'particularly', 'sidetracked']
234|[]|"['good', ""'Molly"", 'excellent', 'interested', 'always', 'sometimes']"
235|[]|['also', 'plenty', 'understand', 'subject', 'friendly', 'funny']
237|[]|['great', 'approachable', 'conscientious', 'sometimes', 'whole', 'knowledgeable']
239|['difficult', 'fast', 'often', 'hard', 'little', 'really']|['knowledgeable', 'really', 'good', 'well', 'great', 'interesting']
241|[]|"['often', ""'PinaCabral"", 'always', 'enhanced', 'much', 'well']"
243|"['useful', 'sometimes', ""'Basically"", 'always', 'appropriate', 'simply']"|['clear', 'well', 'also', 'rather', 'good', 'knowledgeable']
244|"['sometimes', 'large', ""'Unfortunately"", 'little', 'awkward', 'many']"|['great', 'really', 'knowledgeable', 'interesting', 'good', 'clear']
248|['good', '[']|['great', 'good', 'really', 'knowledgeable', 'interesting', 'sometimes']
250|['[']|['great', '[', 'conscious']
251|"[""'Not"", 'sad', '[', 'much']"|['wish', 'reliable', 'African', 'academically', 'great', 'beyond.Kathleen']
253|['later', 'always', 'important', 'unrealistic', 'straight', 'often']|['really', 'interesting', 'knowledgeable', 'also', 'always', 'prepared']
255|['[', 'much']|['interesting', 'allow', 'good', 'slightly', 'clearly', 'marginally']
257|['either', 'together', 'properly']|['great', 'really', 'difficult', 'clear', 'good', 'knowledgeable']
258|['clearly', 'address', 'midterm', 'final', 'well', 'whole']|['knowledgeable', 'extremely', 'well', 'nice', 'great', 'helpful']
259|[]|['knowledgeable', 'great', 'really', 'nice', 'Brazilian', 'plenty']
261|['hard', 'little', 'somewhat', 'outside', 'weak', 'sometimes']|['good', 'great', 'knowledgeable', 'well', 'much', 'really']
264|['sometimes', 'little', 'hard', 'clear', 'frustrating', 'rather']|['great', 'really', 'interesting', 'much', 'also', 'clearly']
266|['didnt', 'always']|['really', 'good', 'difficult', 'sometimes', 'nice', 'fairly']
267|['first', 'contrary', 'little', 'really', 'still', 'frequent']|['interesting', 'clearly', 'extremely', 'much', 'great', 'especially']
268|['highly', 'general', '[', 'critical']|['clear', 'interesting', 'great', 'also', 'little', 'good']
269|['little', 'really', 'economic', 'sometimes', 'serious', 'grasp']|['good', 'really', 'clear', 'Latin', 'American', 'always']
272|['sometimes', 'often', 'much', 'little', 'always', 'difficult']|['great', 'knowledgeable', 'really', 'good', 'clearly', 'well']
273|['little', 'focus', 'never', 'disorganized', 'map', '[']|['great', 'really', 'noticed', 'well', 'nice', 'bigger']
274|['really', 'quiet', 'hard']|"['really', 'great', ""'Emily"", 'good', 'knowledgeable', 'always']"
275|['often', 'difficult', 'never', 'clear', 'good', 'outside']|['great', 'knowledgeable', 'really', 'good', 'much', 'clearly']
