ARTH 22402|684|Perspective as a Challenge to Art History|ARTH
AFAM 28700|52|Politics of the Hip Hop Generation|AFAM
EALC 22031|2806|Scholars and Society in Early Modern Japan|EALC
"HIND 47904|4895|Wives, Widows, Prostitutes: Indian Lit & the Women's Question|HIND"
RLST 27604|8956|Religion and Gender|RLST
"CHDV 26250|1496|Governing the Body, Health and Illness|CHDV"
HIST 29606|5705|Hist Coll: Empire Old And New|HIST
ARTH 15709|554|20th C Western Architecture|ARTH
PLSC 21500|8305|World Politics 20th Century|PLSC
BIOS 20240|1175|Molecular Biology-2|BIOS
BIOS 29285|1300|Evolution And Medicine|BIOS
"CRWR 11506|2606|Gained in Translation: Translations, Literature, Languages|CRWR"
CMLT 31101|1987|Roman Elegy|CMLT
RUSS 21502|9033|Adv Russian Through Media-3|RUSS
ANTH 23060|277|Race in Latin American and Caribbean Thought|ANTH
CMLT 22303|1848|Prosody & Poetic Form: An Intro to Comp Metrics|CMLT
BCSN 20200|1044|Intermed Bosnian/Croatian/Serbian|BCSN
AMER 28001|96|United States Latinos: Origins and Histories|AMER
HCHR 41700|4854|Calvin's Institutes|HCHR
ENGL 26402|3630|Environment in American Literature|ENGL
HIPS 25601|4968|Evolution and Economics|HIPS
PHSC 11500|8115|Life in the Universe 2: Extraterrestrial Life|PHSC
"HIST 15702|5102|Semitic Languages, Cultures, and Civilizations:  Semitic Lang. in the Ancient & Modern Middle East|HIST"
CRES 29601|2495|The Age of Revolution in the Americas|CRES
NEHC 20007|7502|Babylonian Knowledge|NEHC
PBPL 22300|7717|Policy Implementation|PBPL
SOSC 25100|9613|Urban Structure And Process|SOSC
MUSI 25900|7391|Theory and Analysis of Popular Music|MUSI
NEHC 30570|7663|Mughal India: Tradition & Transition|NEHC
"HIPS 29611|5030|Science, Culture and Society in Wittgenstein's Vienna|HIPS"
HIST 24300|5357|History Of Modern China 1|HIST
LACS 29600|6730|The Age of Revolution in the Americas|LACS
ANTH 28600|450|Apes And Human Evolution|ANTH
EALC 25707|2895|Art and Death in Pre-Modern China|EALC
HIST 24209|5355|Imagining Environment in East Asia|HIST
CHDV 27103|1507|Collective Memory: The Politics of the Past|CHDV
ENGL 21914|3402|Literature of the Late Victorian Period|ENGL
ENST 29100|3868|Ba Colloquium-1|ENST
CMST 45540|2298|Fact and Fiction|CMST
ANTH 21266|179|The Aymara and the Quechua|ANTH
MUSI 23716|7357|Music of the Latin American Outlaws|MUSI
ARTH 21240|668|Subject and Object in Post-War Photography|ARTH
ENST 29730|3875|Reading and Research in Tropical Ecology|ENST
TAPS 20900|9880|Arts in Education|TAPS
CRES 25103|2419|Slavery in Brazil:  Historiography and Trends|CRES
HIST 24608|5379|Frontiers and Expansion in Modern China|HIST
